channel,biomarker,n_ad,n_cn,ad_mean,ad_median,cn_mean,cn_median,mean_difference_ad_minus_cn,mann_whitney_u,p_value,rank_biserial_effect,fdr_q_value,significant_fdr_0_05
Pz,relative_delta_power,36,29,0.9194165716568629,0.9249708652496338,0.9077334239565092,0.9147641062736511,0.011683147700353613,662.0,0.06562850089207134,0.26819923371647514,0.09591857822687348,False
Pz,relative_theta_power,36,29,0.0561263964821895,0.05398913286626339,0.0518224974130762,0.05091525986790657,0.004303899069113298,732.0,0.005697025339919875,0.4022988505747127,0.01183913078452099,True
Pz,slow_fast_ratio,36,29,67.5149589644538,70.76940536499023,48.26418850339692,46.928165435791016,19.250770461056874,780.0,0.0006783720753088735,0.49425287356321834,0.002200572829660492,True
Pz,theta_alpha_ratio,36,29,3.7559799949328103,3.979353427886963,2.4397986695684235,2.370901584625244,1.3161813253643868,831.0,4.676943082575269e-05,0.5919540229885059,0.00044430959284465053,True
T3,delta_alpha_ratio,36,29,72.32937473720975,71.14023208618164,57.21141611296555,55.05653762817383,15.117958624244196,709.0,0.013847241604215865,0.3582375478927202,0.02593919906141845,True
T3,relative_alpha_power,36,29,0.022479074153428275,0.018329627811908722,0.03075111599574829,0.027284378185868263,-0.008272041842320013,328.0,0.010662194931298937,-0.3716475095785441,0.02025817036946798,True
T3,relative_beta_power,36,29,0.0051334170404718155,0.004714690148830414,0.00623878895240868,0.0056975120678544044,-0.0011053719119368645,304.0,0.004100793010766143,-0.4176245210727969,0.00879686242632092,True
T3,relative_delta_power,36,29,0.9094356927606795,0.9153947234153748,0.909218679214346,0.915649950504303,0.0002170135463335221,522.0,1.0,0.0,1.0,False
T3,relative_theta_power,36,29,0.06295182618002097,0.05910404026508331,0.053791490479789934,0.052872929722070694,0.009160335700231038,802.0,0.00022557678629854622,0.5363984674329503,0.0008333809049362957,True
T3,slow_fast_ratio,36,29,58.73504670461019,57.87875556945801,45.450506078785864,45.076171875,13.284540625824327,751.0,0.0025658368058109242,0.43869731800766276,0.005986952546892157,True
T3,theta_alpha_ratio,36,29,3.7833712564574347,4.089359760284424,2.5169020541783036,2.4617648124694824,1.266469202279131,827.0,5.858882912134458e-05,0.5842911877394636,0.0005194876182092553,True
T4,delta_alpha_ratio,36,29,73.22806612650554,75.49872589111328,62.05416514955718,62.2065315246582,11.17390097694836,664.0,0.061853255466888586,0.27203065134099624,0.0914053664121798,False
T4,relative_alpha_power,36,29,0.021597223097665444,0.017985309474170208,0.027344048537057023,0.02396615967154503,-0.005746825439391579,361.0,0.034167845680137546,-0.3084291187739464,0.05680404344322867,False
T4,relative_beta_power,36,29,0.005812644065978627,0.004792354768142104,0.005709436232352565,0.0058647338300943375,0.00010320783362606153,443.0,0.3002262841988489,-0.15134099616858232,0.3597305927788009,False
T4,relative_delta_power,36,29,0.9111805955568949,0.9166924953460693,0.9139560440490986,0.9193964600563049,-0.0027754484922036804,464.0,0.4479628724794451,-0.11111111111111116,0.4883529675390672,False
T4,relative_theta_power,36,29,0.06140955382337173,0.05748412944376469,0.05299047226535863,0.052179157733917236,0.008419081558013103,784.0,0.0005585934947692202,0.5019157088122606,0.001857323370107657,True
T4,slow_fast_ratio,36,29,58.074088202582466,57.851919174194336,49.32450333957014,46.536529541015625,8.749584863012323,673.0,0.04702029490870681,0.289272030651341,0.07534577376937357,False
T4,theta_alpha_ratio,36,29,3.7016527785195246,3.830385684967041,2.666694452022684,2.5904252529144287,1.0349583264968407,808.0,0.00016476881542033524,0.5478927203065134,0.0007966077617658359,True
T5,delta_alpha_ratio,36,29,64.78451567225986,70.84073638916016,34.85046250244667,28.45914077758789,29.93405316981319,837.0,3.319072037371041e-05,0.603448275862069,0.0003678638174752904,True
T5,relative_alpha_power,36,29,0.029280885562507644,0.01894845161587,0.06975865929291167,0.06340337544679642,-0.040477773730404024,177.0,5.45984448425048e-06,-0.6609195402298851,0.00015529828835103627,True
